ProbeName 	SystematicName 	Ctnnb1..EKUTA.1. 	Ctnnb1..EKUTA.2. 	Ras..EKUTA.3. 	Ctnnb1..EKUTA.4. 	Ctnnb1..EKUTA.5. 	Ctnnb1..EKUTA.6. 	Ctnnb1..EKUTA.7. 	Ctnnb1..EKUTA.8. 	Ras..EKUTA.9. 	Ras..EKUTA.10. 	n.l..Ctnnb1..EKUTA.NT.1. 	n.l..Ctnnb1..EKUTA.NT.2. 	n.l..Ras..EKUTA.NT.3. 	n.l..Ctnnb1..EKUTA.NT.4. 	n.l..Ctnnb1..EKUTA.NT.5. 	n.l..Ctnnb1..EKUTA.NT.6. 	n.l..Ctnnb1..EKUTA.NT.8. 	n.l..Ras..EKUTA.NT.9. 	n.l..Ras..EKUTA.NT.10. 	Ctnnb1 	 Ras 	 N.l. (Ctnnb1) 	 N.l. (Ras) 	FC  Ctnnb1 	 FC  Ras 	 FC  Ctnnb1  vs.  Ras 	 FC  N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1) 	 Ras  vs.  N.l. (Ras) 	 Ctnnb1  vs.  Ras 	 N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1)  ADJ 	 Ras  vs.  N.l. (Ras)  ADJ 	 Ctnnb1  vs.  Ras  ADJ 	 N.l. (Ctnnb1)  vs.  N.l. (Ras)  ADJ 
A_54_P3221 	 mmu-miR-877 	1.52016	5.028793	3.33306	5.64605	4.154762	4.797637	4.459906	5.197739	3.498057	0.8746276	5.254444	2.444037	2.774231	4.269646	2.71475	1.966269	2.559496	3.883547	3.050355	4.400721	2.568582	3.20144	3.236044	1.19928	-0.6674629	1.832139	-0.03460399	0.1294443	0.5243128	0.1468545	0.9568772	0.5222064	0.9317511	0.7510323	0.9841027
A_54_P2964 	 mmu-miR-652 	3.743264	2.622547	4.267988	2.734814	1.980667	3.390963	3.458949	3.318103	3.482762	1.75985	3.285047	2.007878	2.910687	2.061211	1.240121	3.021436	2.295008	2.141576	2.781329	3.035615	3.1702	2.31845	2.611197	0.7171652	0.5590023	-0.1345842	-0.2927472	0.09029309	0.5357512	0.8758769	0.4730978	0.4840295	0.9336341	0.9829443	0.891705
A_54_P1292 	 mmu-let-7c 	9.170912	8.241548	9.425741	8.613813	7.914473	7.92818	8.513922	8.591946	8.541252	7.953924	8.607028	8.111813	8.841612	8.115465	7.892456	8.68593	8.348386	8.507346	8.54857	8.42497	8.640306	8.293513	8.63251	0.1314577	0.007796565	-0.2153351	-0.3389963	0.5434158	0.9873305	0.6751079	0.0814242	0.8509473	0.9950641	0.9676963	0.5129428
A_54_P2851 	 mmu-miR-291b-3p 	1.480895	2.800686	1.694127	1.001218	2.119956	2.653623	2.224854	1.552269	2.626065	2.186301	0.6157903	1.268289	1.449272	2.365238	1.994869	1.811155	2.868558	2.399787	2.271824	1.976214	2.168831	1.82065	2.040294	0.1555646	0.1285368	-0.1926166	-0.2196445	0.7123249	0.765	0.619542	0.6360252	0.9190644	0.9608407	0.9676963	0.9234758
A_54_P3259 	 mmu-miR-15b* 	2.62246	1.736783	1.878798	0.2551782	1.58195	2.29472	1.916482	0	6.465402	2.776331	1.764207	0.4269854	1.674123	1.663349	2.142654	0.9708833	1.192226	1.771991	1.557911	1.486796	3.706844	1.360051	1.668008	0.1267453	2.038836	-2.220047	-0.3079571	0.7851588	0.2833311	0.2504439	0.284847	0.9487774	0.928386	0.8707645	0.8564537
A_54_P2462 	 mmu-miR-196a 	2.555865	1.785916	2.569936	2.161783	2.148622	2.830777	1.312809	1.737934	2.744955	2.098088	2.184327	1.756267	2.859164	2.796982	2.323297	1.789003	1.657369	2.802898	2.524938	2.076244	2.470993	2.084541	2.729	-0.008297095	-0.2580069	-0.3947493	-0.6444591	0.9754876	0.3223785	0.1998244	0.01674667	0.9870608	0.928386	0.8221174	0.2585686
A_54_P2844 	 mmu-miR-291b-5p 	0	2.238787	0.6507646	0	0	2.843984	1.565597	0	0	0.1890338	1.925999	2.094236	1.863938	0	0	1.361768	0	2.825786	0	0.9497668	0.2799328	0.8970006	1.563241	0.0527662	-1.283309	0.669834	-0.6662407	0.93424	0.2590295	0.2252356	0.523475	0.986231	0.928386	0.834312	0.8932426
A_54_P1519 	 mmu-miR-377 	5.33541	5.470009	2.087247	7.324884	6.147684	6.244053	5.213002	6.142034	1.64747	1.489397	7.451831	5.060792	0.8061533	5.524101	4.887533	3.516582	5.616573	2.238985	0.945308	5.982439	1.741371	5.342902	1.330149	0.6395372	0.4112226	4.241068	4.012753	0.3116118	0.4714377	1.36E-06	0.000965259	0.6873266	0.928386	0.001052631	0.05732156
A_54_P2257 	 mmu-miR-1 	1.338298	1.168497	1.417322	2.084939	0.9162058	1.366411	1.213633	1.328026	1.199994	1.202597	1.613746	1.882741	2.097818	1.907131	0.9997924	2.617957	1.418216	1.947187	2.872196	1.345144	1.273304	1.73993	2.305734	-0.3947862	-1.032429	0.07183995	-0.5658031	0.1668355	0.06144853	0.653738	0.1862168	0.559987	0.928386	0.9676963	0.782014
A_54_P3340 	 mmu-miR-24-1* 	0.4968567	1.340481	1.738422	1.797215	0.6051918	0.7481435	2.38856	1.503105	1.386727	0.6713565	1.135331	1.535599	0.321158	1.717722	0.7825552	1.67393	2.0165	0.8986646	1.380848	1.268508	1.265502	1.47694	0.8668902	-0.2084318	0.3986119	0.003005573	0.6100493	0.5284438	0.4148993	0.9944281	0.1724284	0.8414798	0.928386	0.9962568	0.7577705
A_54_P4405 	 mmu-miR-374 	2.248937	1.790731	2.501842	2.410461	2.086234	1.504477	3.371499	2.320589	2.379493	0.7925555	2.318753	2.203832	2.023792	0.9492844	1.220939	2.073763	2.029307	1.367318	2.491274	2.247561	1.891297	1.799313	1.960795	0.448248	-0.06949763	0.3562642	-0.1614814	0.1915787	0.9198644	0.5953741	0.7066934	0.5964634	0.9761747	0.9676963	0.9510076
A_54_P2084 	 mmu-miR-705 	4.190089	4.39037	3.900225	3.914315	3.807398	4.05504	4.137354	4.44325	2.137468	2.612258	4.697905	2.787462	3.274187	3.063545	2.684857	3.881647	2.860524	3.336125	4.33142	4.133974	2.883317	3.329323	3.647244	0.8046506	-0.763927	1.250657	-0.3179209	0.05620706	0.3008699	0.1371724	0.5284724	0.4627355	0.928386	0.7303016	0.8966609
